0,1
Datasets\IAM_Words\words\c03\c03-084e\c03-084e-06-00.png,the
Datasets\IAM_Words\words\c03\c03-096d\c03-096d-05-03.png,hopes
Datasets\IAM_Words\words\b04\b04-121\b04-121-03-08.png,to
Datasets\IAM_Words\words\a02\a02-102\a02-102-01-05.png,from
Datasets\IAM_Words\words\d06\d06-011\d06-011-01-07.png,suddenly
Datasets\IAM_Words\words\b01\b01-079\b01-079-03-06.png,pre-
Datasets\IAM_Words\words\b06\b06-075\b06-075-03-03.png,established
Datasets\IAM_Words\words\a04\a04-019\a04-019-02-02.png,lead
Datasets\IAM_Words\words\c03\c03-003e\c03-003e-01-04.png,of
Datasets\IAM_Words\words\a05\a05-017\a05-017-09-05.png,be
Datasets\IAM_Words\words\a01\a01-020u\a01-020u-03-04.png,the
Datasets\IAM_Words\words\a04\a04-089\a04-089-07-03.png,been
Datasets\IAM_Words\words\d04\d04-089\d04-089-07-05.png,us
Datasets\IAM_Words\words\a01\a01-128u\a01-128u-10-00.png,over
Datasets\IAM_Words\words\e01\e01-081\e01-081-00-03.png,and
Datasets\IAM_Words\words\e04\e04-109\e04-109-06-04.png,.
Datasets\IAM_Words\words\a04\a04-023\a04-023-01-06.png,Mrs.
Datasets\IAM_Words\words\d05\d05-040\d05-040-05-05.png,the
Datasets\IAM_Words\words\a04\a04-031\a04-031-06-00.png,Soviet
Datasets\IAM_Words\words\c03\c03-007a\c03-007a-01-03.png,in
Datasets\IAM_Words\words\c04\c04-150\c04-150-01-06.png,of
Datasets\IAM_Words\words\c04\c04-028\c04-028-01-06.png,some
Datasets\IAM_Words\words\b04\b04-195\b04-195-00-00.png,It
Datasets\IAM_Words\words\e07\e07-003\e07-003-04-03.png,bulletins
Datasets\IAM_Words\words\a03\a03-063\a03-063-09-10.png,satellite
Datasets\IAM_Words\words\e02\e02-074\e02-074-03-04.png,-
Datasets\IAM_Words\words\b06\b06-110\b06-110-05-01.png,board
Datasets\IAM_Words\words\b02\b02-105\b02-105-00-05.png,and
Datasets\IAM_Words\words\c03\c03-087a\c03-087a-05-02.png,","
Datasets\IAM_Words\words\e01\e01-050\e01-050-03-06.png,Ireland
Datasets\IAM_Words\words\d01\d01-060\d01-060-01-04.png,texts
Datasets\IAM_Words\words\c03\c03-081d\c03-081d-03-04.png,her
Datasets\IAM_Words\words\c04\c04-116\c04-116-02-10.png,","
Datasets\IAM_Words\words\b01\b01-044\b01-044-06-01.png,have
Datasets\IAM_Words\words\c01\c01-009\c01-009-09-02.png,highly
Datasets\IAM_Words\words\a01\a01-058\a01-058-04-06.png,-
Datasets\IAM_Words\words\a05\a05-053\a05-053-03-06.png,situation
Datasets\IAM_Words\words\a04\a04-085\a04-085-06-07.png,the
Datasets\IAM_Words\words\e04\e04-015\e04-015-02-06.png,the
Datasets\IAM_Words\words\c03\c03-000c\c03-000c-00-07.png,play
Datasets\IAM_Words\words\d07\d07-102\d07-102-06-01.png,the
Datasets\IAM_Words\words\c06\c06-080\c06-080-02-03.png,although
Datasets\IAM_Words\words\a04\a04-099\a04-099-06-04.png,on
Datasets\IAM_Words\words\a01\a01-011\a01-011-02-06.png,meet
Datasets\IAM_Words\words\b01\b01-057\b01-057-07-04.png,","
Datasets\IAM_Words\words\c03\c03-000e\c03-000e-05-05.png,advantages
Datasets\IAM_Words\words\a02\a02-106\a02-106-00-00.png,King
Datasets\IAM_Words\words\c06\c06-111\c06-111-00-01.png,sort
Datasets\IAM_Words\words\d01\d01-049\d01-049-02-08.png,able
Datasets\IAM_Words\words\d06\d06-072\d06-072-07-07.png,is
Datasets\IAM_Words\words\d06\d06-027\d06-027-06-00.png,come
Datasets\IAM_Words\words\d01\d01-123\d01-123-04-06.png,accommodating
Datasets\IAM_Words\words\c03\c03-096b\c03-096b-06-04.png,accents
Datasets\IAM_Words\words\a01\a01-038x\a01-038x-01-04.png,the
Datasets\IAM_Words\words\d06\d06-030\d06-030-01-01.png,physical
Datasets\IAM_Words\words\b01\b01-113\b01-113-04-07.png,those
Datasets\IAM_Words\words\b05\b05-062\b05-062-03-00.png,saying
Datasets\IAM_Words\words\a01\a01-038x\a01-038x-04-06.png,his
Datasets\IAM_Words\words\a01\a01-030u\a01-030u-04-06.png,to
Datasets\IAM_Words\words\e07\e07-012\e07-012-01-08.png,the
Datasets\IAM_Words\words\a01\a01-030u\a01-030u-06-00.png,decision
